year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,_csv_row
2024,5,6,1,2024-05-06,WN,995.0,MCI,"Kansas City, MO",Missouri,BWI,"Baltimore, MD",Maryland,650,648.0,-2.0,10.0,658.0,1005.0,2.0,1020,1007.0,-13.0,0,,0,150.0,135.0,123.0,967.0,0,0,0,0,0,2357157
2024,5,7,2,2024-05-07,WN,6145.0,SJU,"San Juan, PR",Puerto Rico,MCO,"Orlando, FL",Florida,510,519.0,9.0,16.0,535.0,827.0,8.0,825,835.0,10.0,0,,0,195.0,368.0,344.0,1189.0,0,0,0,0,0,2375813
2024,5,15,3,2024-05-15,AA,512.0,TPA,"Tampa, FL",Florida,ORD,"Chicago, IL",Illinois,1736,2008.0,152.0,188.0,2253.0,16.0,9.0,1937,25.0,288.0,0,,0,181.0,317.0,143.0,1012.0,0,0,225,0,63,2517106
2024,5,19,7,2024-05-19,F9,3055.0,ISP,"Islip, NY",New York,MCO,"Orlando, FL",Florida,2227,2400.0,93.0,14.0,14.0,217.0,19.0,126,236.0,70.0,0,,0,179.0,157.0,124.0,971.0,0,0,0,0,70,2600111
2024,5,23,4,2024-05-23,YX,5620.0,LGA,"New York, NY",New York,CMH,"Columbus, OH",Ohio,818,1302.0,282.0,22.0,1324.0,1445.0,6.0,1016,1451.0,275.0,0,,0,116.0,109.0,81.0,479.0,0,0,275,0,0,2692073
2024,5,26,7,2024-05-26,WN,239.0,DCA,"Washington, DC",Virginia,AUS,"Austin, TX",Texas,1730,2247.0,317.0,87.0,14.0,218.0,10.0,2000,228.0,388.0,0,,0,210.0,206.0,109.0,1315.0,387,0,0,0,1,2745766
2024,6,22,6,2024-06-22,AA,1627.0,EWR,"Newark, NJ",New Jersey,ORD,"Chicago, IL",Illinois,711,2239.0,928.0,198.0,133.0,239.0,8.0,845,247.0,1082.0,0,,0,154.0,308.0,126.0,719.0,928,0,154,0,0,3279361
2024,6,30,7,2024-06-30,AA,131.0,IND,"Indianapolis, IN",Indiana,PHL,"Philadelphia, PA",Pennsylvania,1559,1612.0,13.0,21.0,1633.0,1850.0,275.0,1749,2323.0,334.0,0,,0,110.0,431.0,137.0,588.0,13,0,321,0,0,3441722
2024,6,30,7,2024-06-30,AA,2058.0,SAT,"San Antonio, TX",Texas,PHL,"Philadelphia, PA",Pennsylvania,1307,1413.0,66.0,14.0,1427.0,1858.0,185.0,1750,2208.0,258.0,0,,0,223.0,415.0,211.0,1496.0,0,1,192,0,65,3442628
2024,6,30,7,2024-06-30,AA,2427.0,IAH,"Houston, TX",Texas,PHL,"Philadelphia, PA",Pennsylvania,1240,1445.0,125.0,35.0,1520.0,1924.0,288.0,1711,2337.0,386.0,0,,0,211.0,472.0,184.0,1325.0,0,0,261,0,125,3443070
2024,6,30,7,2024-06-30,AA,2606.0,AUS,"Austin, TX",Texas,PHL,"Philadelphia, PA",Pennsylvania,1349,1356.0,7.0,10.0,1406.0,1840.0,244.0,1824,2242.0,258.0,0,,0,215.0,466.0,214.0,1430.0,5,0,251,0,2,3443260
2024,6,30,7,2024-06-30,AA,2661.0,SFO,"San Francisco, CA",California,PHL,"Philadelphia, PA",Pennsylvania,937,1002.0,25.0,10.0,1012.0,1817.0,239.0,1803,2214.0,251.0,0,,0,326.0,552.0,305.0,2521.0,7,0,226,0,18,3443318
2024,6,30,7,2024-06-30,AA,2717.0,MSP,"Minneapolis, MN",Minnesota,PHL,"Philadelphia, PA",Pennsylvania,1343,1454.0,71.0,15.0,1509.0,1852.0,258.0,1719,2308.0,349.0,0,,0,156.0,434.0,163.0,980.0,5,0,278,0,66,3443373
2024,6,30,7,2024-06-30,AA,2870.0,SEA,"Seattle, WA",Washington,PHL,"Philadelphia, PA",Pennsylvania,1225,1239.0,14.0,15.0,1254.0,2008.0,243.0,2034,4.0,210.0,0,,0,309.0,505.0,254.0,2378.0,0,0,196,0,14,3443542
